assessment_name,url,remote_testing_support,adaptive_irt_support,duration,test_type
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,No,No,Not specified,Not specified
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,No,No,Not specified,Not specified
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,No,No,Not specified,Not specified
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,No,No,Not specified,Not specified
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,No,No,Not specified,Not specified
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,No,No,Not specified,Not specified
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,No,No,Not specified,Not specified
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,No,No,Not specified,Not specified
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,No,No,Not specified,Not specified
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,No,No,Not specified,Not specified
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,No,No,Not specified,Not specified
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,No,No,Not specified,Not specified
Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,No,No,Not specified,Not specified
.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,No,No,Not specified,Not specified
.NET MVC (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,No,No,Not specified,Not specified
.NET MVVM (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,No,No,Not specified,Not specified
.NET WCF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,No,No,Not specified,Not specified
.NET WPF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,No,No,Not specified,Not specified
.NET XAML (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,No,No,Not specified,Not specified
Accounts Payable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,No,No,Not specified,Not specified
Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,No,No,Not specified,Not specified
Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,No,No,Not specified,Not specified
Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,No,No,Not specified,Not specified
ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,No,No,Not specified,Not specified
Claims/Operations Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,No,No,Not specified,Not specified
Contact Center Customer Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,No,No,Not specified,Not specified
Contact Center Customer Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/,No,No,Not specified,Not specified
Contact Center Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/,No,No,Not specified,Not specified
Contact Center Sales & Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,No,No,Not specified,Not specified
Contact Center Sales & Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,No,No,Not specified,Not specified
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,No,No,Not specified,Not specified
Contact Centre Agent Solution - UK,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/,No,No,Not specified,Not specified
Customer Service - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,No,No,Not specified,Not specified
Customer Service - Short Form - UK,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,No,No,Not specified,Not specified
